Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                      , Base_Seq , Base_Seq , Base_Seq     , Base_Seq , Lambda_Seq , Lambda_Seq   , Lambda_Seq , RAJA_Seq , RAJA_Seq , RAJA_Seq , RAJA_Seq     , RAJA_Seq , RAJA_Seq , RAJA_Seq , Base_OpenMP , Base_OpenMP  , Base_OpenMP , Lambda_OpenMP , Lambda_OpenMP , Lambda_OpenMP , RAJA_OpenMP , RAJA_OpenMP , RAJA_OpenMP  , RAJA_OpenMP , RAJA_OpenMP , RAJA_OpenMP
Kernel                      , default  , library  , replicate_64 , direct   , default    , replicate_64 , direct     , default  , new      , library  , replicate_64 , direct   , funcptr  , virtfunc , default     , replicate_64 , direct      , default       , replicate_64  , direct        , default     , new         , replicate_64 , direct      , funcptr     , virtfunc   
Basic_REDUCE3_INT           , 0.202116 ,  Not run ,      Not run ,  Not run ,   0.231651 ,      Not run ,    Not run , 0.192186 , 0.147375 ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    0.062217 ,      Not run ,     Not run ,      0.049702 ,       Not run ,       Not run ,    0.084919 ,    0.077932 ,      Not run ,     Not run ,     Not run ,     Not run
Basic_REDUCE_STRUCT         , 0.247015 ,  Not run ,      Not run ,  Not run ,   0.246708 ,      Not run ,    Not run , 0.247803 , 0.219483 ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    0.194352 ,      Not run ,     Not run ,      0.195850 ,       Not run ,       Not run ,    0.196486 ,    0.194347 ,      Not run ,     Not run ,     Not run ,     Not run
Basic_TRAP_INT              , 1.034055 ,  Not run ,      Not run ,  Not run ,   1.033793 ,      Not run ,    Not run , 1.033830 , 1.033875 ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    0.259862 ,      Not run ,     Not run ,      0.260984 ,       Not run ,       Not run ,    0.263990 ,    0.260158 ,      Not run ,     Not run ,     Not run ,     Not run
Basic_MULTI_REDUCE          , 0.402037 ,  Not run ,      Not run ,  Not run ,   0.400519 ,      Not run ,    Not run , 0.381363 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    4.044639 ,      Not run ,     Not run ,      4.008295 ,       Not run ,       Not run ,    0.189402 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Lcals_DIFF_PREDICT          , 8.743894 ,  Not run ,      Not run ,  Not run ,   8.749173 ,      Not run ,    Not run , 8.741649 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    4.862682 ,      Not run ,     Not run ,      4.884303 ,       Not run ,       Not run ,    4.886140 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Lcals_EOS                   , 3.601270 ,  Not run ,      Not run ,  Not run ,   3.703869 ,      Not run ,    Not run , 3.456261 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    3.039844 ,      Not run ,     Not run ,      3.174081 ,       Not run ,       Not run ,    3.368945 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Lcals_FIRST_DIFF            , 4.494223 ,  Not run ,      Not run ,  Not run ,   4.492545 ,      Not run ,    Not run , 4.509219 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    4.832138 ,      Not run ,     Not run ,      4.901540 ,       Not run ,       Not run ,    4.964755 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Lcals_FIRST_MIN             , 0.233825 ,  Not run ,      Not run ,  Not run ,   0.241355 ,      Not run ,    Not run , 0.191261 , 0.234636 ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    0.234776 ,      Not run ,     Not run ,      0.248016 ,       Not run ,       Not run ,    0.224849 ,    0.215356 ,      Not run ,     Not run ,     Not run ,     Not run
Lcals_FIRST_SUM             , 4.630189 ,  Not run ,      Not run ,  Not run ,   4.600270 ,      Not run ,    Not run , 4.617008 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    4.698139 ,      Not run ,     Not run ,      4.947843 ,       Not run ,       Not run ,    4.956817 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Lcals_GEN_LIN_RECUR         , 10.944090 ,  Not run ,      Not run ,  Not run ,  10.910496 ,      Not run ,    Not run , 11.186518 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    8.091287 ,      Not run ,     Not run ,      8.179699 ,       Not run ,       Not run ,    8.521106 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
