Kernels run without MPI
Kernels                      ,    Problem size ,    Reps ,    Iterations/rep , Kernels/rep ,    Bytes/rep ,     FLOPS/rep ,    BytesRead/rep ,    BytesWritten/rep ,    BytesAtomicModifyWritten/rep
Stream_ADD                   ,         1000000 ,    1000 ,           1000000 ,           1 ,     24000000 ,       1000000 ,         16000000 ,             8000000 ,                               0
Stream_COPY                  ,         1000000 ,    1800 ,           1000000 ,           1 ,     16000000 ,             0 ,          8000000 ,             8000000 ,                               0
Stream_DOT                   ,         1000000 ,    2000 ,           1000000 ,           1 ,     16000016 ,       2000000 ,         16000008 ,                   8 ,                               0
Stream_MUL                   ,         1000000 ,    1800 ,           1000000 ,           1 ,     16000000 ,       1000000 ,          8000000 ,             8000000 ,                               0
Stream_TRIAD                 ,         1000000 ,    1000 ,           1000000 ,           1 ,     24000000 ,       2000000 ,         16000000 ,             8000000 ,                               0
Apps_CONVECTION3DPA          ,         1000000 ,      50 ,           1000000 ,           1 ,     31172171 ,      57546875 ,         30750288 ,              421883 ,                               0
Apps_DEL_DOT_VEC_2D          ,         1000000 ,     100 ,           1000000 ,           1 ,     48064032 ,      54000000 ,         40064032 ,             8000000 ,                               0
Apps_DIFFUSION3DPA           ,         1000000 ,      50 ,           1000000 ,           1 ,     58125192 ,     110390625 ,         54750192 ,             3375000 ,                               0
Apps_EDGE3D                  ,         1000000 ,      10 ,           1103022 ,           1 ,     35558808 ,   12816012618 ,         26734632 ,             8824176 ,                               0
Apps_ENERGY                  ,         1000000 ,     130 ,           6000000 ,           6 ,    216000000 ,      55000000 ,        176000000 ,            40000000 ,                               0
Apps_FIR                     ,         1000000 ,     160 ,           1000000 ,           1 ,     16000248 ,      32000000 ,          8000248 ,             8000000 ,                               0
Apps_LTIMES                  ,          999424 ,      50 ,            999424 ,           1 ,     14254592 ,      49971200 ,         11131392 ,             3123200 ,                               0
Apps_LTIMES_NOVIEW           ,          999424 ,      50 ,            999424 ,           1 ,     14254592 ,      49971200 ,         11131392 ,             3123200 ,                               0
Apps_MASS3DEA                ,          999424 ,       1 ,            999424 ,           1 ,      8239552 ,       6995968 ,           244160 ,             7995392 ,                               0
Apps_MASS3DPA                ,         1000000 ,      50 ,           1000000 ,           1 ,     20288320 ,      40552000 ,         16192320 ,             4096000 ,                               0
Apps_MATVEC_3D_STENCIL       ,         1000000 ,     100 ,           1000000 ,           1 ,    138635296 ,      53000000 ,        130635296 ,             8000000 ,                               0
Apps_NODAL_ACCUMULATION_3D   ,         1000000 ,     100 ,           1000000 ,           1 ,     32484816 ,       9000000 ,         24242408 ,             8242408 ,                               0
Apps_PRESSURE                ,         1000000 ,     700 ,           2000000 ,           2 ,     48000000 ,       3000000 ,         32000000 ,            16000000 ,                               0
Apps_VOL3D                   ,         1000000 ,     100 ,           1103022 ,           1 ,     35558808 ,      79417584 ,         26734632 ,             8824176 ,                               0
Apps_ZONAL_ACCUMULATION_3D   ,         1000000 ,     100 ,           1000000 ,           1 ,     24242408 ,       8000000 ,         16242408 ,             8000000 ,                               0
Algorithm_SCAN               ,         1000000 ,     100 ,           1000000 ,           1 ,     16000000 ,       1000000 ,          8000000 ,             8000000 ,                               0
Algorithm_SORT               ,         1000000 ,      20 ,           1000000 ,           1 ,     16000000 ,             0 ,          8000000 ,             8000000 ,                               0
Algorithm_SORTPAIRS          ,         1000000 ,      20 ,           1000000 ,           1 ,     32000000 ,             0 ,         16000000 ,            16000000 ,                               0
Algorithm_REDUCE_SUM         ,         1000000 ,      50 ,           1000000 ,           1 ,      8000016 ,       1000000 ,          8000008 ,                   8 ,                               0
Algorithm_MEMSET             ,         1000000 ,     100 ,           1000000 ,           1 ,      8000000 ,             0 ,                0 ,             8000000 ,                               0
Algorithm_MEMCPY             ,         1000000 ,     100 ,           1000000 ,           1 ,     16000000 ,             0 ,          8000000 ,             8000000 ,                               0
Algorithm_ATOMIC             ,         1000000 ,      50 ,           1000000 ,           1 ,     16000000 ,       1000000 ,                0 ,                   0 ,                         8000000
Algorithm_HISTOGRAM          ,         1000000 ,      50 ,           1000000 ,           1 ,      8000160 ,       1000000 ,          8000080 ,                  80 ,                               0
Comm_HALO_PACKING            ,         1000000 ,     200 ,            183624 ,         156 ,      7344960 ,             0 ,          4406976 ,             2937984 ,                               0
Comm_HALO_PACKING_FUSED      ,         1000000 ,     200 ,            183624 ,           2 ,      7344960 ,             0 ,          4406976 ,             2937984 ,                               0
