Mean Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                      , Base_Seq , Base_Seq , Base_Seq     , Base_Seq , Lambda_Seq , Lambda_Seq   , Lambda_Seq , RAJA_Seq , RAJA_Seq , RAJA_Seq , RAJA_Seq     , RAJA_Seq , RAJA_Seq , RAJA_Seq , Base_OpenMP , Base_OpenMP  , Base_OpenMP , Lambda_OpenMP , Lambda_OpenMP , Lambda_OpenMP , RAJA_OpenMP , RAJA_OpenMP , RAJA_OpenMP  , RAJA_OpenMP , RAJA_OpenMP , RAJA_OpenMP
Kernel                      , default  , library  , replicate_64 , direct   , default    , replicate_64 , direct     , default  , new      , library  , replicate_64 , direct   , funcptr  , virtfunc , default     , replicate_64 , direct      , default       , replicate_64  , direct        , default     , new         , replicate_64 , direct      , funcptr     , virtfunc   
Basic_REDUCE3_INT           ,    1.000 ,  Not run ,      Not run ,  Not run ,      0.873 ,      Not run ,    Not run ,    1.052 ,    1.371 ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       3.249 ,      Not run ,     Not run ,         4.067 ,       Not run ,       Not run ,       2.380 ,       2.594 ,      Not run ,     Not run ,     Not run ,     Not run
Basic_REDUCE_STRUCT         ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.001 ,      Not run ,    Not run ,    0.997 ,    1.125 ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.271 ,      Not run ,     Not run ,         1.261 ,       Not run ,       Not run ,       1.257 ,       1.271 ,      Not run ,     Not run ,     Not run ,     Not run
Basic_TRAP_INT              ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.000 ,      Not run ,    Not run ,    1.000 ,    1.000 ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       3.979 ,      Not run ,     Not run ,         3.962 ,       Not run ,       Not run ,       3.917 ,       3.975 ,      Not run ,     Not run ,     Not run ,     Not run
Basic_MULTI_REDUCE          ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.004 ,      Not run ,    Not run ,    1.054 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       0.099 ,      Not run ,     Not run ,         0.100 ,       Not run ,       Not run ,       2.123 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Lcals_DIFF_PREDICT          ,    1.000 ,  Not run ,      Not run ,  Not run ,      0.999 ,      Not run ,    Not run ,    1.000 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.798 ,      Not run ,     Not run ,         1.790 ,       Not run ,       Not run ,       1.790 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Lcals_EOS                   ,    1.000 ,  Not run ,      Not run ,  Not run ,      0.972 ,      Not run ,    Not run ,    1.042 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.185 ,      Not run ,     Not run ,         1.135 ,       Not run ,       Not run ,       1.069 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Lcals_FIRST_DIFF            ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.000 ,      Not run ,    Not run ,    0.997 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       0.930 ,      Not run ,     Not run ,         0.917 ,       Not run ,       Not run ,       0.905 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Lcals_FIRST_MIN             ,    1.000 ,  Not run ,      Not run ,  Not run ,      0.969 ,      Not run ,    Not run ,    1.223 ,    0.997 ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       0.996 ,      Not run ,     Not run ,         0.943 ,       Not run ,       Not run ,       1.040 ,       1.086 ,      Not run ,     Not run ,     Not run ,     Not run
Lcals_FIRST_SUM             ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.007 ,      Not run ,    Not run ,    1.003 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       0.986 ,      Not run ,     Not run ,         0.936 ,       Not run ,       Not run ,       0.934 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Lcals_GEN_LIN_RECUR         ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.003 ,      Not run ,    Not run ,    0.978 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.353 ,      Not run ,     Not run ,         1.338 ,       Not run ,       Not run ,       1.284 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
