FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                      , Base_Seq-default          ,         , Base_Seq-library          ,         , Base_Seq-replicate_64     ,         , Base_Seq-direct           ,         , Lambda_Seq-default        ,         , Lambda_Seq-replicate_64   ,         , Lambda_Seq-direct         ,         , RAJA_Seq-default          ,         , RAJA_Seq-new              ,         , RAJA_Seq-library          ,         , RAJA_Seq-replicate_64     ,         , RAJA_Seq-direct           ,         , RAJA_Seq-funcptr          ,         , RAJA_Seq-virtfunc         ,         , Base_OpenMP-default       ,         , Base_OpenMP-replicate_64  ,         , Base_OpenMP-direct        ,         , Lambda_OpenMP-default     ,         , Lambda_OpenMP-replicate_64,         , Lambda_OpenMP-direct      ,         , RAJA_OpenMP-default       ,         , RAJA_OpenMP-new           ,         , RAJA_OpenMP-replicate_64  ,         , RAJA_OpenMP-direct        ,         , RAJA_OpenMP-funcptr       ,         , RAJA_OpenMP-virtfunc      ,        
Basic_MAT_MAT_SHARED        , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , 0.00012                   ,         , 0                         ,         , 0                         ,         , 0.0023                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.1                       ,OVER_TOL , 0                         ,         , 0                         ,         , 0.19                      ,OVER_TOL , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Basic_MULADDSUB             , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , 0.023                     ,         , 0                         ,         , 0                         ,         , -0.0065                   ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , -0.0087                   ,         , 0                         ,         , 0                         ,         , 0.09                      ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Basic_NESTED_INIT           , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , -0.0012                   ,         , 0                         ,         , 0                         ,         , -0.0039                   ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.017                     ,         , 0                         ,         , 0                         ,         , 0.23                      ,OVER_TOL , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Basic_PI_ATOMIC             , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , -0.076                    ,         , 0                         ,         , 0                         ,         , -0.099                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , -0.00014                  ,         , 0                         ,         , 0                         ,         , 0.00069                   ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Basic_PI_REDUCE             , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , -6.8e-05                  ,         , 0                         ,         , 0                         ,         , -0.00028                  ,         , -0.00019                  ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , -0.0011                   ,         , 0                         ,         , 0                         ,         , 0.0093                    ,         , 0.13                      ,OVER_TOL , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Basic_REDUCE3_INT           , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , 0.15                      ,OVER_TOL , 0                         ,         , 0                         ,         , -0.049                    ,         , -0.27                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , -0.2                      ,         , 0                         ,         , 0                         ,         , 0.36                      ,OVER_TOL , 0.25                      ,OVER_TOL , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Basic_REDUCE_STRUCT         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , -0.0012                   ,         , 0                         ,         , 0                         ,         , 0.0032                    ,         , -0.11                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.0077                    ,         , 0                         ,         , 0                         ,         , 0.011                     ,         , -3e-05                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Basic_TRAP_INT              , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , -0.00025                  ,         , 0                         ,         , 0                         ,         , -0.00022                  ,         , -0.00017                  ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.0043                    ,         , 0                         ,         , 0                         ,         , 0.016                     ,         , 0.0011                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Basic_MULTI_REDUCE          , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , -0.0038                   ,         , 0                         ,         , 0                         ,         , -0.051                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , -0.009                    ,         , 0                         ,         , 0                         ,         , -0.95                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Lcals_DIFF_PREDICT          , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , 0.0006                    ,         , 0                         ,         , 0                         ,         , -0.00026                  ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.0044                    ,         , 0                         ,         , 0                         ,         , 0.0048                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
